Sample Location,Sample Description #1,Lab Number,Carbon   (%),Nitrogen (%),C/N Ratio
mbh_oct_2024,1355,890,0.86,0.22,3.91
mbh_oct_2024,1357,891,5.98,0.43,13.91
mbh_oct_2024,1359,892,4.92,0.41,12
mbh_oct_2024,1361,893,3.89,0.33,11.79
mbh_oct_2024,1363,894,4.79,0.29,16.52
mbh_oct_2024,1365,895,5.38,0.34,15.82
mbh_oct_2024,1367,896,5.80,0.35,16.57
mbh_oct_2024,1369,897,4.93,0.29,17
mbh_oct_2024,1371,898,6.93,0.38,18.24
mbh_oct_2024,1373,899,5.68,0.41,13.85
mbh_oct_2024,1375,900,4.07,0.31,13.13
mbh_oct_2024,1377,901,2.88,0.25,11.52
mbh_oct_2024,1379,902,3.70,0.29,12.76
mbh_oct_2024,1381,903,4.58,0.32,14.31
mbh_oct_2024,1383,904,3.43,0.28,12.25
mbh_oct_2024,1385,905,9.88,0.54,18.3
mbh_oct_2024,1387,906,12.22,0.73,16.74
mbh_oct_2024,1389,907,9.93,0.62,16.02
mbh_oct_2024,1391,908,6.82,0.47,14.51
mbh_oct_2024,1393,909,7.75,0.4,19.38
mbh_oct_2024,1395,910,3.98,0.36,11.06
mbh_oct_2024,1397,911,3.08,0.4,7.7
mbh_oct_2024,1399,912,5.79,0.39,14.85
mbh_oct_2024,1401,913,4.01,0.35,11.46
mbh_oct_2024,1403,914,4.03,0.42,9.6
mbh_oct_2024,1405,915,6.32,0.45,14.04
mbh_oct_2024,1407,916,4.53,0.37,12.24
mbh_oct_2024,1409,918,5.83,0.53,11
mbh_oct_2024,1411,919,8.59,0.67,12.82
mbh_oct_2024,1413,920,5.53,0.5,11.06
mbh_oct_2024,1415,921,6.67,0.55,12.13
mbh_oct_2024,1417,922,5.18,0.48,10.79
mbh_oct_2024,1419,923,5.65,0.43,13.14
mbh_oct_2024,1421,924,11.09,0.66,16.8
mbh_oct_2024,1423,925,4.17,0.4,10.42
mbh_oct_2024,1425,926,2.08,0.29,7.17
mbh_oct_2024,1427,927,1.85,0.27,6.85
mbh_oct_2024,1429,928,3.47,0.37,9.38
mbh_oct_2024,1431,929,2.46,0.33,7.45
mbh_oct_2024,1433,930,3.28,0.37,8.86
mbh_oct_2024,1435,931,3.70,0.39,9.49
mbh_oct_2024,1437,932,3.15,0.33,9.55
mbh_oct_2024,1439,933,4.65,0.41,11.34
mbh_oct_2024,1441,934,3.87,0.35,11.06
mbh_oct_2024,1443,935,4.02,0.32,12.56
mbh_oct_2024,1445,936,5.65,0.45,12.56
mbh_oct_2024,1447,937,1.69,0.23,7.35
mbh_oct_2024,1449,938,9.62,0.53,18.15
mbh_oct_2024,1451,939,4.92,0.39,12.62
mbh_oct_2024,1453,940,3.72,0.35,10.63
mbh_oct_2024,1455,941,4.67,0.4,11.67
mbh_oct_2024,1457,942,7.18,0.52,13.81
mbh_oct_2024,1459,943,6.88,0.51,13.49
mbh_oct_2024,1461,944,5.90,0.46,12.83
mbh_oct_2024,1463,945,5.15,0.44,11.7
mbh_oct_2024,1465,946,4.48,0.34,13.18
mbh_oct_2024,1467,947,4.00,0.37,10.81
mbh_oct_2024,1469,948,4.07,0.34,11.97
mbh_oct_2024,1471,949,2.73,0.26,10.5
mbh_oct_2024,1473,950,3.74,0.32,11.69